city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Sfintu-Gheorghe,0.23780519113877338,0.3437682708761455,2871263.6260309056,5759221.301380514,-0.062598327520349,1.1662066969174898
Bacau,0.3229458668956444,0.3897476075448419,2996676.164358607,5873527.6936504925,0.06385760639584781,1.2078383194952989
Focsani,0.266751961993466,0.37948784140486325,3026387.3364513307,5731861.750010906,-0.0011163890863903347,1.280949911380163
Bucharest,0.17300522173266764,0.3234338415673071,2905427.57775536,5532758.638899501,-0.17307024059132115,1.2741007904892774
Brasov,0.22007961716640304,0.3342918770982795,2850580.464641516,5724039.674281427,-0.09264048212369502,1.165461556770999
Pitesti,0.16076931228022523,0.29913132578027685,2769161.389075316,5598927.160422473,-0.2033740917096365,1.1575134123680078
Tirgu Mures,0.24596178996514986,0.3225380301466707,2733761.791003054,5870256.874113457,-0.06827341739738291,1.031970108138322
Deva,0.1868011093182198,0.26748026943625375,2551075.374662213,5761667.644910443,-0.21989589681848098,0.9496169945649455
Cluj-Napoca,0.23565239281869435,0.30062698207007704,2626961.8715359857,5907603.70140925,-0.10018922026214394,0.9460334948028106
Rimnicu Vilcea,0.16464157222388928,0.2910199375160783,2714303.1440123883,5638855.390228304,-0.20809722848835488,1.1055961804251082
Sibiu,0.19725937003053365,0.29730598967375405,2686929.6812263243,5747893.7575963475,-0.1603202227395828,1.0462885732124354
Targu Jiu,0.14900064102371102,0.261650696540486,2590849.8287226483,5628608.599401757,-0.27504086048655907,1.0262810177682085
Alba Lulia,0.20308896873893867,0.2877340536979731,2624913.592905392,5792697.121938832,-0.16584789891097174,0.9877226729880662
Giurgiu,0.14700665628080534,0.30628349561254936,2876495.642098188,5454615.904643764,-0.23136905797416674,1.2839019550699493
Zalau,0.2392042416656618,0.2929802796961822,2567361.416165268,5970685.453068063,-0.09423682262907374,0.8822436817356636
Craiova,0.11861827394209122,0.26226352350839593,2652287.0556914555,5516077.49903963,-0.3079020114848543,1.1098424679713312
Targoviste,0.17835948597357207,0.31628622915916704,2834082.916105953,5611766.13040731,-0.1639784198036276,1.196431074326608
Bistrita,0.27531085391586585,0.33166279511961,2728774.6778155155,5964628.346472435,-0.017653774724117888,0.9932389156569204
Satu Mare,0.2534159769042869,0.2981893687286103,2547546.546804066,6072320.542131858,-0.04687895178438506,0.8308022700829483
Slatina,0.13085213974693585,0.2779857779083678,2712967.310122869,5533008.075154225,-0.2683063249563764,1.144369687914044
Miercurea Cuic,0.26053199997969684,0.34575857199149623,2841318.683007515,5838389.656998705,-0.03289979169341972,1.1163627566450156
Iasi,0.4091859901019697,0.42029185477240855,3069623.8266754393,5969588.31287449,0.15404920334207084,1.220969403494577
Belgrade,0.15903960868561812,0.19576306183358855,2278487.337556724,5593008.833332991,-0.44986407221708014,0.8292229024271542
Nis,0.09660877548841544,0.20095004972199332,2437896.848372692,5362398.078933167,-0.5006023896972511,1.0230348171389003
Subotica,0.1757870547634032,0.19908921494526013,2190767.578811624,5791573.873988144,-0.3816270159766635,0.6957111100460918
Zrenjanin,0.170078902376103,0.20287754146237322,2270861.9524373855,5681322.539043898,-0.40395981359664024,0.7909851694247241
Kragujevac,0.13275821040002314,0.19225276331246385,2328803.7473952826,5468537.751217268,-0.4949534427051274,0.9097688796565826
Novi Sad,0.1722724951955573,0.19051029512026615,2209680.760297401,5661028.358862188,-0.445696028104277,0.7573812609442336
Cacak,0.14515048220787286,0.1791540327947956,2263136.379776331,5448388.840330583,-0.5388311200561384,0.8730887186042202
Kolpino,0.26680507212782295,0.5286223552884504,3411942.3928138358,8339869.13991309,1.6571519124332923,0.5631288269180823
Pskov,0.26712923927656224,0.5051026713716941,3153670.042224362,7931690.30840841,1.2995299858109464,0.5421535214355764
St. Petersburg,0.2668037176522999,0.5170464753321584,3374761.6828888827,8386169.415870248,1.6647738855081178,0.520730502727365
Velikiy Novgorod,0.2668840736067669,0.5671432183746293,3487639.6465532593,8073093.6119444575,1.5445833853099442,0.7141088896009036
Gatchina,0.26680678115419054,0.5207699867648108,3354423.6119209514,8304772.97972987,1.6089034265414819,0.5375398731639804
Luga,0.2668475528312304,0.5296794169409117,3321662.285780489,8123608.175682003,1.4907492091557275,0.5833759844869233
Vyborg,0.2668022844508682,0.4658629658585486,3200980.8258115025,8558148.92263425,1.6754057760073504,0.3392142678405472
Svetogorsk,0.266802220930357,0.4607193498506129,3219103.638912646,8649120.37118389,1.7355650998584862,0.3173238706299588
Staraya Russa,0.26707522228094055,0.576213566914751,3490355.8421286168,7966225.256703648,1.4858079172533492,0.7559944702933832
Slantsy,0.26681495765896784,0.4797859690825734,3125261.308173917,8204547.12435166,1.4389541920847888,0.4207467486532579
Velikiye Luki,0.274433050916735,0.5775768097793207,3397470.859010708,7622384.14077795,1.2463408644815805,0.8223061540619074
Kaliningrad,0.25791564290794716,0.29545312525164447,2281748.998636967,7303858.579707456,0.5142344232765774,0.19016550751033212
Chernyakhovsk,0.2651675724604677,0.3311178495100063,2427978.281743012,7290692.978402868,0.5792937707020736,0.2935974793461811
Sovetsk,0.26550067471833383,0.3332935583727327,2435893.097538413,7375813.517077243,0.6311027984453199,0.2670241839448173
Vasteraas,0.23043730675011115,0.18587522039983323,1841224.377720744,8317818.1893806,0.8663550325620415,-0.48661217551604574
Orebro,0.20219318908836745,0.16661858319641087,1694282.6498736232,8241218.695855432,0.7504429809116635,-0.5568786151224474
Karlstad,0.14939367035676232,0.14352229568365912,1502801.9937601152,8260157.896862943,0.66620676045767,-0.6929550984905806
Nykoping,0.24426397708578768,0.2008803561948227,1894101.135847551,8129552.127771088,0.7866449871232453,-0.3804301971333248
Goteborg,0.1912602242017518,0.14073401556425066,1335833.889519282,7914982.684813881,0.3892762381303143,-0.676044368195849
Halmstad,0.22660092317550198,0.15390504199015392,1431078.8458420068,7693331.19951603,0.3117805322244305,-0.5288105685371023
Linkoping,0.22714940352830695,0.1788208332238092,1739912.5091497872,8053943.435685166,0.6676990327273229,-0.45594937979318795
Jonkoping,0.21763250102067722,0.16178860637855105,1576840.5870867209,7919427.473955497,0.5112110494730961,-0.5153727774040098
Kalmar,0.24914349863538618,0.20050375505555368,1821921.57801719,7692358.745310158,0.5049211040440555,-0.26518177699454437
Gavle,0.2436249935522513,0.1892419337725853,1910977.170651809,8549759.100203685,1.0314062882713353,-0.5265632447910433
Malmo,0.21023848567021228,0.16030504046244642,1450860.3193559726,7475905.776754681,0.1992653079605704,-0.4339915461240871
Vaxjo,0.23840550695229998,0.17511326067357905,1649387.4992366962,7736385.01841034,0.4441875001503792,-0.3978992466591431
Stockholm,0.2533675370881266,0.21834306147878668,2014582.2207331103,8256597.65088076,0.9178237922162129,-0.34689514268198485
Karlskrona,0.23653021089035078,0.1848466657108175,1702742.9311739125,7598933.808367757,0.39330185828002495,-0.31044107775877117
Falun,0.2142963529296641,0.16357565108896135,1741816.0724423502,8537498.626245383,0.9406786683984123,-0.6359115474825421
Uppsala,0.247572232516616,0.20491951167602893,1963675.8175933454,8368656.343869781,0.955637877282725,-0.42318616239517026
